batch_size,batch_profile_role,confirmatory_main_result,variant,method,fusion_ratio_lambda,controller_warmup_epochs,encoder_seed,selected_epoch,validation_macro_top1,test_macro_top1,test_overall_top1,test_top5,checkpoint_sha256
128,locked_v3_partial_cell,True,lg,lg,,0,1,208,26.333335041999817,24.315351247787476,23.990334829133587,48.84363134276838,27029c5d1042e5b118a679cc6465d5b9763c1c83e9fb7e352cbd336a05582414
128,locked_v3_partial_cell,True,alg_warmup20,alg,,20,1,108,23.000001907348633,21.382255852222443,21.211598205039696,47.3593372454263,6ba968d3e4bfe9a5da6807b3fc4cdbccc41c5f45b12b5f613b61ebce2b50abc9
128,locked_v3_partial_cell,True,ibkd_lambda_0.25,ibkd,0.25,20,1,239,27.666667103767395,27.03605890274048,26.855367621677598,52.67518122195374,fb8c141be32e101f8ad91689ea809d8ecc8d9701ef7b843efdcd88c3b3ac7bd8
128,locked_v3_partial_cell,True,ibkd_lambda_0.5,ibkd,0.5,20,1,58,12.000001221895218,11.612388491630554,11.511908871246117,31.08387987573352,d9dd2e97e39783cb813467c2f263aa7b41bf4b5c8f6bf866dfa8e7afa60f4979
64,batch64_sensitivity,False,lg,lg,,0,1,214,28.166666626930237,25.86154043674469,25.647221263375908,51.0700724887815,62169858cae75b021c93f57c1ac83552bceab5aa2fed6fbf6a014440b546e963
64,batch64_sensitivity,False,alg_warmup20,alg,,20,1,105,26.499998569488525,24.640914797782898,24.37003797031412,50.62133241284087,495acc03d96958ef31b95105b22bd055cba3fd7e9b8643c771272027db9ecfb7
64,batch64_sensitivity,False,ibkd_lambda_0.25,ibkd,0.25,20,1,239,26.499998569488525,26.030713319778442,25.698998964445977,51.24266482568174,1235ec4d31e8ee79a9ba35609cae16eba6673a96870ce5007a26c948741653f1
64,batch64_sensitivity,False,ibkd_lambda_0.5,ibkd,0.5,20,1,283,19.499999284744263,19.131197035312653,19.036934760096653,43.33793579565067,68072b50a13e52feb6f4e2dc2093461074995c0e1d29717c3fa4e4b1ce684438
