batch_size,batch_profile_role,variant,method,fusion_ratio_lambda,controller_warmup_epochs,encoder_seed,selected_epoch,validation_macro_top1,test_macro_top1,test_overall_top1,test_top5,checkpoint_path,checkpoint_sha256,confirmatory_main_result
64,batch64_sensitivity,lg,lg,,0,1,214,28.166666626930237,25.86154043674469,25.647221263375908,51.0700724887815,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_lg_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,62169858cae75b021c93f57c1ac83552bceab5aa2fed6fbf6a014440b546e963,False
64,batch64_sensitivity,alg_warmup20,alg,,20,1,105,26.499998569488525,24.640914797782898,24.37003797031412,50.62133241284087,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_alg_warmup20_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,495acc03d96958ef31b95105b22bd055cba3fd7e9b8643c771272027db9ecfb7,False
64,batch64_sensitivity,ibkd_lambda_0.25,ibkd,0.25,20,1,239,26.499998569488525,26.030713319778442,25.698998964445977,51.24266482568174,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_ibkd_lambda_0.25_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,1235ec4d31e8ee79a9ba35609cae16eba6673a96870ce5007a26c948741653f1,False
64,batch64_sensitivity,ibkd_lambda_0.5,ibkd,0.5,20,1,283,19.499999284744263,19.131197035312653,19.036934760096653,43.33793579565067,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_ibkd_lambda_0.5_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,68072b50a13e52feb6f4e2dc2093461074995c0e1d29717c3fa4e4b1ce684438,False
