variant,encoder_seed,images,patches,positive_patches,global_micro_patch_average_precision,pointing_game_peak_inside_mask,foreground_attention_mass_mean,attention_rollout_layers,qualitative_image_ids,qualitative_png_count,official_test_evaluations,scientific_result
lg,1,5794,1135624,180768,0.21840971499311718,0.5246807336807251,0.17509138584136963,12,"[787, 2285, 3735, 5205, 6691, 8139, 9597, 11064]",8,1,True
alg_warmup20,1,5794,1135624,180768,0.2643180126531196,0.5177770256996155,0.1885259747505188,12,"[787, 2285, 3735, 5205, 6691, 8139, 9597, 11064]",8,1,True
ibkd_lambda_0.25,1,5794,1135624,180768,0.27647670791883805,0.49430444836616516,0.1999073475599289,12,"[787, 2285, 3735, 5205, 6691, 8139, 9597, 11064]",8,1,True
ibkd_lambda_0.5,1,5794,1135624,180768,0.2126733902371026,0.4767000377178192,0.2206277847290039,12,"[787, 2285, 3735, 5205, 6691, 8139, 9597, 11064]",8,1,True
