variant,encoder_seed,student_block,teacher_feature,images,spatial_observations,centered_linear_cka,scientific_result
ibkd_lambda_0.25,3,11,resnet50_layer3,600,117600,0.31746346455551416,True
ibkd_lambda_0.5,3,0,resnet50_layer3,600,117600,0.14409775455904014,True
ibkd_lambda_0.5,3,1,resnet50_layer3,600,117600,0.16342145213526435,True
ibkd_lambda_0.5,3,2,resnet50_layer3,600,117600,0.1631197168430413,True
ibkd_lambda_0.5,3,3,resnet50_layer3,600,117600,0.17151209212050164,True
ibkd_lambda_0.5,3,4,resnet50_layer3,600,117600,0.17586644759629846,True
ibkd_lambda_0.5,3,5,resnet50_layer3,600,117600,0.1771369451224623,True
ibkd_lambda_0.5,3,6,resnet50_layer3,600,117600,0.18147228316191458,True
ibkd_lambda_0.5,3,7,resnet50_layer3,600,117600,0.18560978042204354,True
ibkd_lambda_0.5,3,8,resnet50_layer3,600,117600,0.182116698154445,True
ibkd_lambda_0.5,3,9,resnet50_layer3,600,117600,0.19782368256239136,True
ibkd_lambda_0.5,3,10,resnet50_layer3,600,117600,0.20106760839357446,True
ibkd_lambda_0.5,3,11,resnet50_layer3,600,117600,0.20340724651812864,True
