index,kind,method,fusion_ratio_lambda,batch_size,seed,selected_epoch,validation_macro_top1,test_macro_top1,test_overall_top1,test_top5,training_seconds,attempt_elapsed_seconds,checkpoint_sha256,initial_student_state_sha256,teacher_model_state_sha256,validation_image_ids_sha256,official_test_evaluations,official_test_used_for_training_or_selection,strict_checkpoint_reload,status,failure
0,teacher,teacher,,128,1,275,53.513509035110474,46.181535720825195,46.22512946306895,79.83101662578359,1316.5384642751887,1320.287579625845,66de3ae6d49be7e882a49bd6de0e9e5a815609b295ecf0d5c290713779f02950,,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
1,student,vanilla,,64,1,235,31.351348757743835,20.239000022411346,20.19623875715454,50.99482147724176,1399.8382625328377,1403.7551094722003,79aee8035131c285072fd0938c296e72bdcd6639a6f607c5aab21494f2bde16a,9934a9687a4182f9150acb4946c2c2f3b97b0447e3df409edff933a6a3702859,,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
2,student,vanilla,,64,2,233,32.297295331954956,20.55027484893799,20.550558735350233,52.602889070591445,1384.9884389853105,1388.723270304501,9473f6af641237825e21be4605b08c396689bafc0cb627cb22c0542dff19eaed,993d9dabff8b881e568bc47fb065ae3bda0589fbb25e7268f30f2825098a17c5,,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
3,student,vanilla,,64,3,270,29.86486256122589,20.66834717988968,20.659580267102754,51.730716816571274,1391.4569266103208,1394.744991524145,58e422a9fa5acc31f351785ec7c54eed8873303cee1206a84a2d5f4c34703a74,4be2a910bc6de5ea99f2b51f8a9347a02b08e0958958dd0832b992eef71aaa38,,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
4,student,kd,,64,1,257,37.162160873413086,29.52778935432434,29.517579721995094,62.878168438266556,1421.9705446744338,1425.372712311335,e52169a6fb97fdd77b26b58390cc5cce90f6ff763669fdab446d167c673ddb62,9934a9687a4182f9150acb4946c2c2f3b97b0447e3df409edff933a6a3702859,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
5,student,kd,,64,2,289,36.75675690174103,30.70996403694153,30.689561188334697,65.41291905151267,1403.3763950541615,1407.3875253936276,410a80f3b92885e26171d89474040c9fa39866ffa4fa535777c723586ee83fe7,993d9dabff8b881e568bc47fb065ae3bda0589fbb25e7268f30f2825098a17c5,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
6,student,kd,,64,3,293,37.97297477722168,31.53681755065918,31.534478059416735,65.44017443445081,1428.9188766898587,1432.838236020878,c284b6110d689bb803137e4811e52a894a00b1f4d26056288e1fc8401b74c9ab,4be2a910bc6de5ea99f2b51f8a9347a02b08e0958958dd0832b992eef71aaa38,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
7,student,lg,,64,1,260,45.40540874004364,37.81784474849701,37.83047151812483,72.79912782774598,1411.8084004530683,1415.7752008456737,fb0fdc02d89ca282e23590bc2302428d40338f3dbb381b2542e6ae70eaf7dcbf,9934a9687a4182f9150acb4946c2c2f3b97b0447e3df409edff933a6a3702859,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
8,student,lg,,64,2,231,48.10810685157776,39.06073868274689,39.05696375034069,74.51621695284818,1429.361026570201,1433.3201853921637,145722995041d50a1be737e3ea371fd4648192e2b41ecca5fc2dcd12bcc22331,993d9dabff8b881e568bc47fb065ae3bda0589fbb25e7268f30f2825098a17c5,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
9,student,lg,,64,3,270,46.08108401298523,37.738314270973206,37.748705369310436,73.2624693376942,1395.2620453378186,1399.2974971169606,6a8b2353efc5239b4b9545d34573ac38ea1a3c175e329530274b2b074cca17ba,4be2a910bc6de5ea99f2b51f8a9347a02b08e0958958dd0832b992eef71aaa38,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
