variant,encoder_seed,probe_seed_1,probe_seed_2,probe_seed_3,probe_seed_4,probe_seed_5,probe_seed_mean,probe_seed_sample_standard_deviation
vanilla,1,0.601436963336747,0.5970219902541196,0.6049025832203657,0.5953157120507759,0.6012719412654683,0.5999898380254953,0.0038251993332290212
vanilla,2,0.6036555337550558,0.606512511929078,0.6055281030161052,0.6034585522071672,0.6067863825541002,0.6051882166923013,0.0015623916703515575
vanilla,3,0.6112385927487558,0.6100816156964519,0.6068592356232094,0.6073578042663051,0.6065921396249451,0.6084258775919335,0.0020982479502452446
kd,1,0.735190287125105,0.7344837860510098,0.7348797344557547,0.7351166249102052,0.7326972367250596,0.7344735338534268,0.0010304897967595653
kd,2,0.7302576655415587,0.7300747546572097,0.7298582860798829,0.7299188517399801,0.7303512102294392,0.7300921536496141,0.00021185774408621856
kd,3,0.7484454253955455,0.7483416753876445,0.7483912857282999,0.7484809783560931,0.7482090427977421,0.748373681533065,0.00010618380789789887
lg,1,0.8313657463101252,0.8316083627726845,0.8315441228329032,0.831982898108619,0.8320540141962272,0.8317110288441119,0.0002954529640338295
lg,2,0.827826309664059,0.8277621387563125,0.827880834574787,0.8284793214009132,0.8280967827135963,0.8280090774219336,0.00029139775380640265
lg,3,0.8253502543784437,0.8249835585814298,0.8260573703391583,0.8275448569653989,0.825923191238495,0.8259718463005852,0.0009807055319212216
alg,1,0.6373497177044468,0.6387778100449707,0.6375019653913911,0.6391503512331509,0.6382150284014008,0.638198974555072,0.000782221964427222
alg,2,0.6372182629631342,0.6351678534905264,0.6358804411964079,0.6360878339458055,0.638651511183301,0.636601180555835,0.0013621731554510328
alg,3,0.6260448521416169,0.6259724924601878,0.62534624221613,0.6285117789143384,0.6267706787613757,0.6265292088987298,0.0012178707232914263
ibkd_lambda_0.25,1,0.7856712392015194,0.7844586032283618,0.7859216103215001,0.7866737035857871,0.7860350510001235,0.7857520414674584,0.0008120684294966673
ibkd_lambda_0.25,2,0.7734608235257857,0.774093852132565,0.7723444026785222,0.7745367728029515,0.7744869419232081,0.7737845586126065,0.000912919014148218
ibkd_lambda_0.25,3,0.7877103601234123,0.7875832164152687,0.7874601209616128,0.789209588376244,0.7888242592297654,0.7881575090212607,0.0008011758623433869
ibkd_lambda_0.5,1,0.7766855581500948,0.7774239552864943,0.7776148013518813,0.7786094059524924,0.778430008916569,0.7777527459315063,0.000783991916186209
ibkd_lambda_0.5,2,0.7665009194884791,0.7662264936947394,0.7671094652169661,0.7668350379163336,0.7674546477359336,0.7668253128104904,0.0004849523112963264
ibkd_lambda_0.5,3,0.7713291355208993,0.7714397080169473,0.7713941323742608,0.7709093672472327,0.7712896378780665,0.7712723962074813,0.00021102108115058596
