epoch,learning_rate,train_loss,train_top1,validation_overall_top1,validation_macro_top1,validation_top5,seconds_including_validation,peak_cuda_memory_bytes,peak_cuda_memory_reserved_bytes
1,0.0,5.4166637148175925,0.44642857142857145,0.6666666666666666,0.6666666828095913,3.0,7.764457738026977,11377272320,15730737152
2,0.01,5.718112218947637,0.7254464285714286,0.6666666666666666,0.6666666828095913,4.5,7.256883933208883,11377272320,15730737152
3,0.02,5.6335675829932805,0.6324404761904762,1.0,0.9999999776482582,4.166666666666667,6.990782208740711,11377272320,15730737152
4,0.03,5.326889106205532,0.6882440476190477,1.3333333333333333,1.3333333656191826,7.333333333333333,7.052861819975078,11377272320,15730737152
5,0.04,5.177846647444225,1.5625,2.0,1.9999999552965164,7.666666666666667,7.223190197721124,11377272320,15730737152
6,0.0499229333433282,5.037054833911714,1.8043154761904763,2.1666666666666665,2.1666668355464935,8.5,6.914556718431413,11377272320,15730737152
7,0.049889049115077,4.8841590767815,2.4925595238095237,2.6666666666666665,2.666666731238365,13.666666666666666,6.891735604032874,11377272320,15730737152
8,0.0498490238863795,4.77938080969311,2.9761904761904763,3.8333333333333335,3.8333334028720856,14.666666666666666,6.570679813623428,11377272320,15730737152
9,0.04980286753286195,4.665263959339687,3.8132440476190474,4.166666666666667,4.16666716337204,17.0,6.961197185330093,11377272320,15730737152
10,0.04975059144291394,4.5751810527983165,4.482886904761905,5.5,5.5000003427267075,20.333333333333332,6.495970975607634,11377272320,15730737152
11,0.04969220851487845,4.497147083282471,4.799107142857143,4.833333333333333,4.833333566784859,19.833333333333332,5.7406592052429914,11377272320,15730737152
12,0.04962773315386935,4.413117238453457,5.896577380952381,5.5,5.499999970197678,21.166666666666668,5.7174803130328655,11377272320,15730737152
13,0.049557181268217225,4.368917919340587,6.919642857142857,7.0,7.000000029802322,22.833333333333332,6.04765279404819,11377272320,15730737152
14,0.049480570265544144,4.297416993549892,6.752232142857143,7.5,7.500000298023224,26.333333333333332,6.93714005779475,11377272320,15730737152
15,0.049397919048468686,4.204708281017485,7.942708333333333,7.5,7.500000298023224,26.0,6.968919639475644,11377272320,15730737152
16,0.049309248009941915,4.13851447332473,8.779761904761905,8.333333333333334,8.33333432674408,28.166666666666668,6.54180359467864,11377272320,15730737152
17,0.04921457902821578,4.066741404079256,9.895833333333334,9.166666666666666,9.166666865348816,30.166666666666668,6.4245402328670025,11377272320,15730737152
18,0.049113935461444956,3.982869233403887,10.472470238095237,9.5,9.49999988079071,28.833333333333332,6.988537748344243,11377272320,15730737152
19,0.04900734214192358,3.922216597057524,11.793154761904763,10.0,10.000000149011612,31.833333333333332,7.0655326545238495,11377272320,15730737152
20,0.048894825369958254,3.8568720590500605,12.462797619047619,13.5,13.500000536441803,33.666666666666664,6.746650716289878,11377272320,15730737152
21,0.048776412907378844,3.756944599605742,13.504464285714286,15.0,15.000000596046448,39.666666666666664,6.679050656966865,11377272320,15730737152
22,0.048652133970688634,3.665247389248439,14.880952380952381,14.166666666666666,14.166666567325592,35.333333333333336,6.676822405308485,11377272320,15730737152
23,0.04852201922385564,3.6199645541963124,15.308779761904763,14.666666666666666,14.666667580604553,36.666666666666664,6.974804321303964,11377272320,15730737152
24,0.04838610077074669,3.6012167306173417,16.77827380952381,15.5,15.500001609325409,40.0,6.985001537948847,11377272320,15730737152
25,0.04824441214720629,3.4958639315196445,18.32217261904762,11.666666666666666,11.666666716337204,36.166666666666664,6.7237425884231925,11377272320,15730737152
26,0.04809698831278217,3.4363486710048856,18.917410714285715,18.0,18.000000715255737,38.833333333333336,6.735554052516818,11377272320,15730737152
27,0.04794386564209953,3.386485610689436,19.419642857142858,19.166666666666668,19.166667759418488,46.333333333333336,7.1754006911069155,11377272320,15730737152
28,0.04778508191588613,3.2461375281924294,22.526041666666668,16.666666666666668,16.66666865348816,42.0,7.230182079598308,11377272320,15730737152
29,0.04762067631165049,3.2395887942541215,22.358630952380953,19.333333333333332,19.333335757255554,45.5,7.218781242147088,11377272320,15730737152
30,0.047450689394015394,3.1567259345735823,24.739583333333332,18.166666666666668,18.166665732860565,46.166666666666664,7.3510203929618,11377272320,15730737152
31,0.047275163104709195,3.0275187265305292,25.81845238095238,21.5,21.500001847743988,47.5,8.018246290273964,11377272320,15730737152
32,0.047094140752217344,2.989621429216294,25.76264880952381,19.166666666666668,19.166667759418488,44.833333333333336,7.703740738332272,11377272320,15730737152
33,0.04690766700109659,2.9091680390494212,28.218005952380953,23.5,23.499999940395355,48.333333333333336,7.181229231879115,11377272320,15730737152
34,0.04671578786095479,2.8524055821555003,29.148065476190474,21.333333333333332,21.33333384990692,53.0,7.108254361897707,11377272320,15730737152
35,0.046518550675098594,2.748188086918422,31.454613095238095,22.333333333333332,22.333335876464844,50.833333333333336,6.992991657927632,11377272320,15730737152
36,0.04631600410885231,2.7652672699519565,31.26860119047619,23.333333333333332,23.333333432674408,51.0,7.2626666789874434,11377272320,15730737152
37,0.04610819813755038,2.6328598942075456,34.31919642857143,22.5,22.50000238418579,48.833333333333336,7.1010056380182505,11377272320,15730737152
38,0.04589518403420676,2.623596253849211,34.07738095238095,24.666666666666668,24.666668474674225,53.166666666666664,6.821556470356882,11377272320,15730737152
39,0.04567701435686405,2.5465238434927806,36.439732142857146,24.333333333333332,24.33333545923233,52.0,6.685601722449064,11377272320,15730737152
40,0.04545374293562559,2.4611737103689286,38.020833333333336,25.833333333333332,25.833332538604736,50.5,7.129344353452325,11377272320,15730737152
41,0.04522542485937369,2.387808391026088,38.76488095238095,24.166666666666668,24.166665971279144,52.166666666666664,7.033601366914809,11377272320,15730737152
42,0.04499211646217727,2.3835012458619618,39.41592261904762,23.166666666666668,23.16666543483734,51.666666666666664,6.84017947036773,11377272320,15730737152
43,0.04475387530939226,2.2640601141112193,41.83407738095238,26.166666666666668,26.16666853427887,56.333333333333336,6.825517646968365,11377272320,15730737152
44,0.044510760183458245,2.224641570023128,42.745535714285715,23.166666666666668,23.16666841506958,51.0,6.8227201802656054,11377272320,15730737152
45,0.044262831069394735,2.186514065379188,43.04315476190476,24.833333333333332,24.833332002162933,50.166666666666664,6.88542565703392,11377272320,15730737152
46,0.04401014914000078,2.1687930680456615,44.289434523809526,23.333333333333332,23.33333194255829,49.5,6.44397984072566,11377272320,15730737152
47,0.043752776740761494,2.04726090885344,47.95386904761905,24.666666666666668,24.666668474674225,52.333333333333336,6.907389966771007,11377272320,15730737152
48,0.043490777374465245,2.0216238725753057,47.30282738095238,24.166666666666668,24.166667461395264,55.5,7.121982727199793,11377272320,15730737152
49,0.04322421568553529,1.9425109085582553,49.813988095238095,30.166666666666668,30.166664719581604,56.833333333333336,7.186946150846779,11377272320,15730737152
50,0.04295315744407972,1.8803439679599943,50.85565476190476,30.166666666666668,30.166664719581604,56.833333333333336,7.096952388063073,11377272320,15730737152
51,0.04267766952966369,1.8397061001686823,52.00892857142857,33.333333333333336,33.33333134651184,58.166666666666664,6.7544474340975285,11377272320,15730737152
52,0.04239781991480786,1.7992082550412132,53.10639880952381,33.666666666666664,33.666667342185974,60.5,6.607101132161915,11377272320,15730737152
53,0.04211367764821722,1.734756881282443,54.520089285714285,29.333333333333332,29.333335161209106,58.166666666666664,6.857862958684564,11377272320,15730737152
54,0.041825312837744336,1.7340140853609358,54.76190476190476,28.666666666666668,28.66666615009308,54.666666666666664,6.816850142553449,11377272320,15730737152
55,0.0415327966330913,1.7053582810220265,55.691964285714285,34.333333333333336,34.333336353302,60.833333333333336,7.164726429618895,11377272320,15730737152
56,0.041236201208254594,1.6089824494861422,57.998511904761905,33.666666666666664,33.666667342185974,60.833333333333336,7.10560910589993,11377272320,15730737152
57,0.040935599743717244,1.6037877202033997,57.75669642857143,32.333333333333336,32.333335280418396,62.0,6.988218013197184,11377272320,15730737152
58,0.04063106640839264,1.569444281714303,58.333333333333336,32.166666666666664,32.16666877269745,57.5,6.63242207467556,11377272320,15730737152
59,0.040322676341324415,1.5118414873168582,60.90029761904762,32.833333333333336,32.83333480358124,58.166666666666664,6.660382090136409,11377272320,15730737152
60,0.040010505633147106,1.4417883015814281,62.351190476190474,28.0,28.00000011920929,59.5,6.668032294139266,11377272320,15730737152
61,0.03969463130731184,1.3964824676513672,62.90922619047619,33.0,33.000001311302185,61.833333333333336,6.839505723677576,11377272320,15730737152
62,0.03937513130108197,1.3450173139572144,64.36011904761905,33.0,33.000004291534424,59.666666666666664,6.756388724781573,11377272320,15730737152
63,0.03905208444630327,1.3200652599334717,65.30877976190476,36.166666666666664,36.16666495800018,61.0,6.806063631549478,11377272320,15730737152
64,0.0387255704499533,1.2473061964625405,66.90848214285714,35.5,35.499998927116394,60.166666666666664,6.504661696963012,11377272320,15730737152
65,0.038395669874474916,1.2270330800896598,67.3735119047619,38.333333333333336,38.333335518836975,64.33333333333333,6.966193040832877,11377272320,15730737152
66,0.03806246411789872,1.2087113871460868,68.5639880952381,30.666666666666668,30.666667222976685,59.333333333333336,6.772925074212253,11377272320,15730737152
67,0.03772603539375929,1.233908745504561,68.39657738095238,34.5,34.49999988079071,64.16666666666667,6.985232696868479,11377272320,15730737152
68,0.03738646671081019,1.1823311618396215,69.81026785714286,31.5,31.50000274181366,59.333333333333336,7.054838191717863,11377272320,15730737152
69,0.037043841852542884,1.150274498122079,69.921875,31.833333333333332,31.833335757255554,61.0,7.003858936019242,11377272320,15730737152
70,0.036698245356514336,1.1520716689881825,70.16369047619048,37.666666666666664,37.66666650772095,62.166666666666664,7.122071910649538,11377272320,15730737152
71,0.03634976249348867,1.047901790766489,72.0796130952381,33.5,33.500003814697266,60.666666666666664,6.948787970468402,11377272320,15730737152
72,0.035998479246397874,1.1019134336993808,71.20535714285714,34.333333333333336,34.33333337306976,60.833333333333336,7.084633042104542,11377272320,15730737152
73,0.03564448228912682,0.9816397158872514,74.62797619047619,35.833333333333336,35.83333194255829,62.833333333333336,7.093120011501014,11377272320,15730737152
74,0.035287858965127726,0.9886453776132493,74.29315476190476,34.166666666666664,34.16666388511658,61.5,6.682121676392853,11377272320,15730737152
75,0.034928697265869516,0.959618961527234,74.72098214285714,33.166666666666664,33.16666781902313,63.0,6.992394300177693,11377272320,15730737152
76,0.03456708580912725,0.9756751741681781,74.46056547619048,35.333333333333336,35.33333241939545,60.833333333333336,6.996088966727257,11377272320,15730737152
77,0.03420311381711696,0.9229289293289185,76.07886904761905,37.333333333333336,37.33333647251129,61.5,6.905347843654454,11377272320,15730737152
78,0.033836871094481434,0.9275034637678237,75.78125,34.666666666666664,34.6666693687439,63.833333333333336,7.104835613630712,11377272320,15730737152
79,0.033468448006132294,0.8730937838554382,77.28794642857143,32.666666666666664,32.66666829586029,57.833333333333336,7.149160974659026,11377272320,15730737152
80,0.033097935454953736,0.8407894997369676,78.19940476190476,36.166666666666664,36.16666793823242,63.5,7.978465780615807,11377272320,15730737152
81,0.032725424859373686,0.8743209143479665,77.45535714285714,36.333333333333336,36.33333444595337,63.333333333333336,7.983223306015134,11377272320,15730737152
82,0.0323510081308076,0.7974042693773905,78.86904761904762,32.666666666666664,32.66666829586029,59.833333333333336,7.47272306215018,11377272320,15730737152
83,0.03197477765098074,0.7776034275690714,79.296875,37.0,37.0000034570694,63.166666666666664,7.376539193093777,11377272320,15730737152
84,0.03159682624913432,0.7896181302411216,79.25967261904762,35.166666666666664,35.16666889190674,65.0,7.3104057759046555,11377272320,15730737152
85,0.031217247179121367,0.7517359214169639,80.859375,36.333333333333336,36.33333444595337,64.0,7.8537340722978115,11377272320,15730737152
86,0.03083613409639764,0.6967545435542152,81.65922619047619,34.0,34.00000035762787,64.83333333333333,7.844638374634087,11377272320,15730737152
87,0.03045358103491357,0.7776455183823904,79.63169642857143,37.166666666666664,37.166666984558105,64.0,7.7368590869009495,11377272320,15730737152
88,0.03006968238391282,0.7372806717952093,81.36160714285714,37.166666666666664,37.166666984558105,65.5,7.1152775483205914,11377272320,15730737152
89,0.02968453286464312,0.7119702923865545,81.69642857142857,37.0,37.00000047683716,65.5,7.108340000733733,11377272320,15730737152
90,0.029298227506985238,0.7049585516963687,81.91964285714286,37.166666666666664,37.166666984558105,63.333333333333336,7.001256071031094,11377272320,15730737152
91,0.028910861626005774,0.6901188180560157,82.04985119047619,36.5,36.500000953674316,62.333333333333336,6.845389953814447,11377272320,15730737152
92,0.028522530798439572,0.6802220628375099,82.51488095238095,35.5,35.499998927116394,63.666666666666664,6.673036546446383,11377272320,15730737152
93,0.028133330839107615,0.6561877571401142,83.48214285714286,38.666666666666664,38.66666853427887,64.83333333333333,7.141202595084906,11377272320,15730737152
94,0.027743357777276136,0.6269459298678807,83.51934523809524,36.166666666666664,36.16666793823242,63.166666666666664,6.951931977644563,11377272320,15730737152
95,0.02735270783296286,0.61838289527666,84.375,39.5,39.500004053115845,65.0,6.940422095358372,11377272320,15730737152
96,0.026961477393196126,0.5892479540336699,85.10044642857143,37.333333333333336,37.33333647251129,65.33333333333333,7.021956819109619,11377272320,15730737152
