method,ibkd_fusion_ratio,beta,source,run_id,status,completed_steps,expected_steps,pixel_accuracy,miou,guidance_active_steps,guidance_stop_epoch,guidance_stop_step,final_beta,final_loss,final_ce,final_guidance,train_seconds,invocation_seconds,peak_cuda_allocated_bytes,runtime_error,selected_for_next_stage
alg,,0.02,pack4,alg_beta_0p02,stable,10000,10000,0.9424147455766293,0.6646670429155969,10000,,,0.02,0.15198656916618347,0.14241144061088562,0.4787565767765045,9386.497380203567,9938.743608476594,8125692416,,False
alg,,0.05,pack3,alg_beta_0p05,stable,10000,10000,0.9442551621224727,0.6754083055357166,10000,,,0.05,0.15179294347763062,0.13794203102588654,0.277018278837204,9385.100193709135,9929.894247964025,8125692416,,True
ibkd,0.25,0.25,pack1,ibkd_lambda_0p25_beta_0p25,stable,10000,10000,0.9405998268809169,0.6415543403489375,7440,21,7441,0.0,0.1451658457517624,0.1451658457517624,0.13603879511356354,18659.315924928524,19168.44562898483,11401873920,,False
ibkd,0.25,0.5,pack2,ibkd_lambda_0p25_beta_0p5,stable,10000,10000,0.9444455628636731,0.697361094288263,7440,21,7441,0.0,0.1306457668542862,0.1306457668542862,0.10143345594406128,18693.641936659813,19210.49961442873,11402365440,,True
ibkd,0.5,0.1,pack3,ibkd_lambda_0p5_beta_0p1,stable,10000,10000,0.9437350908199628,0.6589430202768292,10000,,,0.1,0.1466955989599228,0.13431783020496368,0.12377765029668808,18940.199762860313,19471.61583700124,11401873920,,False
ibkd,0.5,0.25,pack4,ibkd_lambda_0p5_beta_0p25,stable,10000,10000,0.9400221635007842,0.6516542287372372,7440,21,7441,0.0,0.14042533934116364,0.14042533934116364,0.12174508720636368,18851.735328525305,19378.78753214795,11401873920,,False
lg,,0.02,pack2,lg_beta_0p02,stable,10000,10000,0.9424147455766293,0.6646670429155969,10000,,,0.02,0.15198658406734467,0.14241145551204681,0.4787565767765045,9385.074050732888,9927.556036729366,8125692416,,False
lg,,0.05,pack1,lg_beta_0p05,stable,10000,10000,0.9442551621224727,0.6754083055357166,10000,,,0.05,0.15179294347763062,0.13794203102588654,0.277018278837204,9394.20995242428,9950.326914078556,8125692416,,True
