aggregation_mode,encoder_seed,controller_stop_epoch,selected_epoch,validation_macro_top1,test_macro_top1,test_overall_top1,test_top5,final_train_loss
learned_all,1,123,252,28.166666626930237,26.337042450904846,26.061442871936485,51.794960303762515,1.7036455954824175
fixed_uniform_all,1,123,256,17.16666668653488,16.649745404720306,16.551605108733174,38.41905419399379,3.7338317235310874
fixed_stage_match,1,123,253,24.83333647251129,21.41677737236023,21.26337590610977,45.63341387642389,2.0646328046208335
fixed_last,1,123,291,25.50000250339508,23.793192207813263,23.62789092164308,49.36140835346911,2.5816649539130077
