variant,batch64_test_macro_top1_mean,batch64_test_macro_top1_sample_sd,batch128_test_macro_top1_mean,batch128_test_macro_top1_sample_sd,batch128_minus_batch64_mean,batch128_minus_batch64_sample_sd,batch64_controller_stop_epoch_s1_s2_s3,batch128_controller_stop_epoch_s1_s2_s3
vanilla,20.48587401707967,0.22180023842799051,21.118103961149853,0.658148247382218,0.6322299440701803,0.6002950560564826,,
kd,30.59152364730835,1.00973742519501,30.077924331029255,1.0860942481949714,-0.5135993162790934,0.4454883844558517,,
lg,38.2056325674057,0.7416104945213572,32.99329380194346,1.6859901576458507,-5.212338765462239,1.7247517674073742,None/None/None,None/None/None
alg,32.27662841478983,1.4175759763017581,22.87997156381607,0.2578308575607061,-9.396656850973764,1.2227313447380546,118/144/138,2/2/2
ibkd_lambda0.25,29.473580916722614,0.3330022238572591,26.71642303466797,0.40212841571680397,-2.757157882054647,0.7201830835029491,119/143/130,104/120/140
ibkd_lambda0.5,29.5276681582133,1.999982615857559,24.895986417929333,1.2172822205042684,-4.631681740283966,2.6522615119566186,119/146/133,125/120/137
