variant,method,fusion_ratio_lambda,encoder_seed,probe_seed,selected_learning_rate,selected_epoch,validation_grid_mean_iou,validation_input_224_mean_iou,test_grid_mean_iou,test_input_224_mean_iou,test_input_224_foreground_iou,test_input_224_background_iou,test_input_224_foreground_dice,test_input_224_pixel_accuracy,official_test_evaluations,scientific_result
vanilla,vanilla,,1,1,0.01,24,0.5621172558109686,0.5974883738713276,0.5660176618254413,0.601436963336747,0.5076872235167961,0.695186703156698,0.6734649144702264,0.7680850629653979,1,True
vanilla,vanilla,,1,2,0.01,66,0.5607059822297191,0.593894121630544,0.5638706051737278,0.5970219902541196,0.4801709457370177,0.7138730347712217,0.6488047169415657,0.7736871116674991,1,True
vanilla,vanilla,,1,3,0.01,25,0.562391433082501,0.5987347236759597,0.5691556164589957,0.6049025832203657,0.49873279795232445,0.7110723684884069,0.6655393124561346,0.7755844048711577,1,True
vanilla,vanilla,,1,4,0.03,62,0.5650764246171768,0.598504739036134,0.562149114181256,0.5953157120507759,0.495460140401394,0.6951712837001579,0.6626189853089743,0.7653978089495057,1,True
vanilla,vanilla,,1,5,0.01,35,0.5657361018008564,0.6005233176825985,0.5674001929914052,0.6012719412654683,0.49901145664320967,0.7035324258877271,0.6657873819866114,0.7711201090654375,1,True
vanilla,vanilla,,2,1,0.01,39,0.5728995461344948,0.6103599272302485,0.5692690263279253,0.6036555337550558,0.4921679851591264,0.715143082350985,0.6596683350053796,0.7767702409923922,1,True
vanilla,vanilla,,2,2,0.01,59,0.5744614170886256,0.6092661745801817,0.5728545139561085,0.606512511929078,0.49571609725705257,0.7173089266011032,0.6628478468154898,0.7787826143717625,1,True
vanilla,vanilla,,2,3,0.01,30,0.5735427716581769,0.6087754301936276,0.5709884230981024,0.6055281030161052,0.4940881056860386,0.7169681003461716,0.6613908561425416,0.7782606475560621,1,True
vanilla,vanilla,,2,4,0.03,70,0.5744575611552586,0.6081573313608594,0.5702283090281987,0.6034585522071672,0.4933605437217382,0.7135565606925961,0.6607386887190551,0.7760298559420019,1,True
vanilla,vanilla,,2,5,0.01,51,0.5735914426144882,0.6099159176261615,0.572139127914047,0.6067863825541002,0.49688593042516627,0.7166868346830342,0.6638928462425108,0.7786280346071641,1,True
