variant,method,fusion_ratio_lambda,encoder_seed,probe_seed,selected_learning_rate,selected_epoch,validation_grid_mean_iou,validation_input_224_mean_iou,test_grid_mean_iou,test_input_224_mean_iou,test_input_224_foreground_iou,test_input_224_background_iou,test_input_224_foreground_dice,test_input_224_pixel_accuracy,official_test_evaluations,scientific_result
vanilla,vanilla,,1,1,0.01,70,0.5530827103421558,0.5836482229683166,0.5585698299698261,0.5887175741273927,0.4714725337171181,0.7059626145376673,0.6408173077157224,0.7670614303142995,1,True
vanilla,vanilla,,1,2,0.03,88,0.5553325308634477,0.5864955561746169,0.5607233243083649,0.5909878656687906,0.47825293889127274,0.7037227924463085,0.6470515651400965,0.7670005149871925,1,True
vanilla,vanilla,,1,3,0.01,68,0.5538492274053903,0.5859804116297693,0.5594664164664945,0.5904725606840754,0.48525986094984985,0.6956852604183009,0.6534342894576275,0.7635262604606483,1,True
vanilla,vanilla,,1,4,0.03,83,0.5551957147128893,0.5857582881779821,0.561161796598535,0.5916467702904904,0.48644989262243266,0.6968436479585481,0.6545123317466496,0.7644763190891735,1,True
vanilla,vanilla,,1,5,0.01,82,0.5544173981173383,0.5850369361415091,0.5609661869567872,0.5908656292060286,0.47533129959616216,0.7063999588158949,0.6443722840100703,0.7680868341918672,1,True
vanilla,vanilla,,2,1,0.01,78,0.5688325816853569,0.6033197536614796,0.5733568308603263,0.6077682052511281,0.49337292415225337,0.7221634863500027,0.6607497915262225,0.7813288700903546,1,True
vanilla,vanilla,,2,2,0.01,73,0.566991790142563,0.6016142780388398,0.5743339359729199,0.6093371839867485,0.49553437410870377,0.7231399938647932,0.6626853687719859,0.7823356389313968,1,True
vanilla,vanilla,,2,3,0.01,68,0.5683123465488857,0.6035201842989254,0.5726848199215969,0.6076143644876532,0.49898131957078634,0.7162474094045199,0.6657605575947578,0.7787674474709813,1,True
vanilla,vanilla,,2,4,0.01,82,0.5691626103602418,0.6052521830304002,0.5752677557821797,0.6110631978650864,0.5017986691333106,0.7203277265968622,0.6682635688083264,0.781794423962316,1,True
vanilla,vanilla,,2,5,0.01,57,0.5695200583451312,0.6046946990283283,0.5718596208421138,0.6069684051968264,0.49495662478564006,0.7189801856080127,0.6621685426580337,0.7796626847823499,1,True
vanilla,vanilla,,3,1,0.01,76,0.5657617715056531,0.5996909432572941,0.5702121578129692,0.6053004895153303,0.49002925857674023,0.7205717204539204,0.6577444781786511,0.7797178591061803,1,True
vanilla,vanilla,,3,2,0.01,82,0.566030797190496,0.6007881633873822,0.5699005222527362,0.6052388829709322,0.4897572575422761,0.7207205083995882,0.657499408125391,0.7797596439487983,1,True
vanilla,vanilla,,3,3,0.01,77,0.5669999132465219,0.6016581005221522,0.570281119864134,0.6052724353481992,0.4918395008894327,0.7187053698069658,0.6593732108530423,0.7789016271656843,1,True
vanilla,vanilla,,3,4,0.01,82,0.5675663142209735,0.6039642510825697,0.5723329764655556,0.6087976505384108,0.49850105125626937,0.7190942498205523,0.6653329349863994,0.7804096902561518,1,True
vanilla,vanilla,,3,5,0.1,94,0.5673293417065679,0.6025388997734151,0.5718225274872181,0.6081065042578266,0.5004159323749341,0.7157970761407191,0.6670362818433293,0.7787746562388496,1,True
kd,kd,,1,1,0.01,81,0.6560145219935827,0.7108904389218903,0.6639543465963615,0.7205247722218773,0.6423850873079906,0.7986644571357638,0.7822587921337188,0.8521396183508599,1,True
kd,kd,,1,2,0.03,90,0.6553364353076665,0.7111397199037148,0.6639087002806292,0.7204612460066808,0.6431266125138697,0.797795879499492,0.7828083455235755,0.8517994190067526,1,True
kd,kd,,1,3,0.01,84,0.6552240521284365,0.7114882310429715,0.6642801868808761,0.721306166052046,0.6448864195123961,0.7977259125916959,0.7841105767090761,0.8520663539832638,1,True
kd,kd,,1,4,0.03,90,0.6553177499211457,0.7098938135348909,0.6642974025969985,0.7203673893266119,0.6474770597689988,0.793257718884225,0.7860225499707837,0.8501566188426231,1,True
kd,kd,,1,5,0.01,73,0.6551821849681336,0.7098776229736969,0.6628546077795359,0.7189793390172088,0.6409595189288,0.7969991591056175,0.7812008907413038,0.8509973321056132,1,True
kd,kd,,2,1,0.01,65,0.6713067144550224,0.7255036541441043,0.679205799960032,0.7341913755241923,0.6591350827921748,0.8092476682562099,0.7945526432759289,0.8606488008750354,1,True
