encoder_seed,selected_epoch,controller_stop_epoch,validation_macro_top1,test_macro_top1,test_overall_top1,test_top5
1,239,103,41.21621549129486,32.058945298194885,32.05233033524121,65.05859907331698
2,293,118,40.6756728887558,31.081897020339966,31.07113654946852,65.98528209321341
3,273,137,40.54054319858551,30.099493265151978,30.11719814663396,64.6225129463069
