variant,method,fusion_ratio_lambda,controller_warmup_epochs,encoder_seed,probe_seed,selected_learning_rate,selected_epoch,validation_grid_mean_iou,validation_input_224_mean_iou,test_grid_mean_iou,test_input_224_mean_iou,test_input_224_foreground_iou,test_input_224_background_iou,test_input_224_foreground_dice,test_input_224_pixel_accuracy,encoder_checkpoint_path,encoder_checkpoint_sha256,probe_checkpoint_path,probe_checkpoint_sha256,official_test_evaluations,scientific_result
alg_warmup20,alg,,20,3,1,0.03,63,0.7924457924444219,0.7771732223819063,0.7954202102152983,0.7800817442269362,0.6371782465195207,0.9229852419343517,0.7783859184228703,0.9321606103230471,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_alg_warmup20_deit_tiny_b128_full_300ep_seed3/student_best_validation.pt,c0128186c7ea50de07161bb89a8200fcb41640fc56b9ee2f36cb1fe1364832af,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/alg_warmup20/encoder_seed3/probe_seed1_best_validation.pt,eae8291bc7dd67257465c33d5d2210d036aa642af3efa25be91ccd5ca618b2e2,1,True
alg_warmup20,alg,,20,3,2,0.03,61,0.7923659161029288,0.7768224962508333,0.7955378636804915,0.7797167520030197,0.6360520365044562,0.9233814675015831,0.7775449952844135,0.9324293192828348,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_alg_warmup20_deit_tiny_b128_full_300ep_seed3/student_best_validation.pt,c0128186c7ea50de07161bb89a8200fcb41640fc56b9ee2f36cb1fe1364832af,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/alg_warmup20/encoder_seed3/probe_seed2_best_validation.pt,d4e436662077a02828309249e8190fd38cafa72b82d131aba1c05c0244486ae4,1,True
alg_warmup20,alg,,20,3,3,0.03,47,0.7921582341621602,0.7758363570682406,0.7942604212621708,0.7785251998234745,0.6339512054402491,0.9230991942066998,0.7759732399957908,0.9321373267307225,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_alg_warmup20_deit_tiny_b128_full_300ep_seed3/student_best_validation.pt,c0128186c7ea50de07161bb89a8200fcb41640fc56b9ee2f36cb1fe1364832af,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/alg_warmup20/encoder_seed3/probe_seed3_best_validation.pt,088e8212d57ee7cca7c2ba9d8885eb3e57fd8cfa51ddd58e7ac1e178f7a38101,1,True
alg_warmup20,alg,,20,3,4,0.03,74,0.7920425843662965,0.7766673209615023,0.7954776249893849,0.7802342534757587,0.6372956497491565,0.9231728572023608,0.7784735149657229,0.9323103146375913,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_alg_warmup20_deit_tiny_b128_full_300ep_seed3/student_best_validation.pt,c0128186c7ea50de07161bb89a8200fcb41640fc56b9ee2f36cb1fe1364832af,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/alg_warmup20/encoder_seed3/probe_seed4_best_validation.pt,682cfcee0fd8499235fa7947f6e49311ca82e3f70060a417fbbf9eae33fd68c3,1,True
alg_warmup20,alg,,20,3,5,0.03,47,0.7926442965433418,0.7776195088620028,0.7954093709443777,0.7804290757115919,0.6375495282105964,0.9233086232125876,0.7786628950481486,0.9324245483650399,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_alg_warmup20_deit_tiny_b128_full_300ep_seed3/student_best_validation.pt,c0128186c7ea50de07161bb89a8200fcb41640fc56b9ee2f36cb1fe1364832af,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/alg_warmup20/encoder_seed3/probe_seed5_best_validation.pt,60cb9b92f8e554b390076b3675930af4a4b0f974410961eac0c25b01d3b3f20d,1,True
ibkd_lambda_0.25,ibkd,0.25,20,1,1,0.03,72,0.7853908938707244,0.7690479416328355,0.7898120724219397,0.7732497371012654,0.625299532714345,0.921199941488186,0.7694575924353566,0.9303579670185731,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed1/student_best_validation.pt,c194f0eb17fb8b89ddb6cd3fbafb949e273bb5168369819fd4dd554810dec394,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed1/probe_seed1_best_validation.pt,54107fc70d8d751ecc38faa29139c5ea4ae0172789dc3130d528e47f30396e85,1,True
ibkd_lambda_0.25,ibkd,0.25,20,1,2,0.1,83,0.7854280327079722,0.7700448914309004,0.78974647684982,0.7744715343300662,0.627649473960709,0.9212935946994234,0.7712342049094784,0.9305125488828169,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed1/student_best_validation.pt,c194f0eb17fb8b89ddb6cd3fbafb949e273bb5168369819fd4dd554810dec394,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed1/probe_seed2_best_validation.pt,d5ea14068c76ffed662ea1f51f92015b256661cb8e35ab8e73d5405e44db70f5,1,True
ibkd_lambda_0.25,ibkd,0.25,20,1,3,0.01,71,0.7862599732324703,0.7681410222410923,0.7887953452947958,0.772012720029765,0.6223590240463525,0.9216664160131774,0.7672272472638227,0.9306226893210253,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed1/student_best_validation.pt,c194f0eb17fb8b89ddb6cd3fbafb949e273bb5168369819fd4dd554810dec394,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed1/probe_seed3_best_validation.pt,4900368c0c79cb4b735ae5e40625bd7b5b899efc871865a5c17056ac7f4b4a82,1,True
ibkd_lambda_0.25,ibkd,0.25,20,1,4,0.03,42,0.7861583546707638,0.7724014469697622,0.7872935671444536,0.7740686101158527,0.6300501651516005,0.9180870550801049,0.7730438959748255,0.9281152263260111,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed1/student_best_validation.pt,c194f0eb17fb8b89ddb6cd3fbafb949e273bb5168369819fd4dd554810dec394,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed1/probe_seed4_best_validation.pt,efa3c8dca2f05c644e2cf5dcb4f5f72ca46883580333a1d63d0080a7d6fb0c74,1,True
ibkd_lambda_0.25,ibkd,0.25,20,1,5,0.03,86,0.7858486337897231,0.7681178591311797,0.7896295923751397,0.7725582248529069,0.6231835441743508,0.921932905531463,0.7678534524465496,0.9308595153413454,/app/output/phase1_cub_b128_full_v2_guided/classification/students/cub_ibkd_lambda_0.25_deit_tiny_b128_full_300ep_seed1/student_best_validation.pt,c194f0eb17fb8b89ddb6cd3fbafb949e273bb5168369819fd4dd554810dec394,/app/output/phase1_cub_b128_full_v2_guided/probe/checkpoints/ibkd_lambda_0.25/encoder_seed1/probe_seed5_best_validation.pt,51a1bd6acadaf80be9e3d55526fe625a0822981eb8fbbf736cc73e84ae587c81,1,True
