variant,encoder_seed,probe_seeds,test_input_224_mean_iou_mean,test_input_224_mean_iou_probe_seed_sample_sd
alg_warmup20,1,5,0.7788906742200862,0.00048115729911900665
alg_warmup20,2,5,0.7777849321083619,0.0007319588554206451
alg_warmup20,3,5,0.7797974050481562,0.0007575790704162026
ibkd_lambda_0.25,1,5,0.7732721652859712,0.0010209342277776741
ibkd_lambda_0.25,2,5,0.778133865436264,0.0010260819004641
ibkd_lambda_0.25,3,5,0.7749861473409685,0.0007400619711539116
ibkd_lambda_0.5,1,5,0.7765952505277508,0.0008007235020574548
ibkd_lambda_0.5,2,5,0.7780823280439177,0.0008905721476139457
ibkd_lambda_0.5,3,5,0.7714745562023063,0.0003439863451168071
