method,ibkd_fusion_ratio,beta,source,run_id,status,completed_steps,expected_steps,pixel_accuracy,miou,guidance_active_steps,guidance_stop_epoch,guidance_stop_step,final_beta,final_loss,final_ce,final_guidance,train_seconds,invocation_seconds,peak_cuda_allocated_bytes,runtime_error,selected_for_next_stage
ibkd,0.5,0.1,lambda0p5_2k,ibkd_beta_0p1,stable,2000,2000,0.9216055599070915,0.5608496671875656,2000,,,0.1,0.3649376928806305,0.34209415316581726,0.22843550145626068,3774.191455383785,4037.8455027239397,11401873920,,True
ibkd,0.5,0.25,lambda0p5_2k,ibkd_beta_0p25,stable,2000,2000,0.8807885344610538,0.44183125954930214,2000,,,0.25,0.390011727809906,0.344725102186203,0.1811465620994568,3747.8468863423914,4008.885648745112,11401939456,,True
ibkd,0.5,0.5,lambda0p5_2k,ibkd_beta_0p5,stable,2000,2000,0.7723826165952037,0.19446380751543818,2000,,,0.5,0.7381241917610168,0.6730912327766418,0.1300659030675888,3714.900661974214,3973.543989388272,11401873920,,False
ibkd,0.5,1.0,lambda0p5_2k,ibkd_beta_1,stable,2000,2000,0.7096345218836695,0.1645918953320892,2000,,,1.0,0.9521821141242981,0.8854030966758728,0.06677903234958649,3696.9113801075146,3958.1009814450517,11400956416,,False
